Category,Count,ATC,ATC_A,ATC_B,ATC_C,ATC_D,ATC_G,ATC_H,ATC_J,ATC_L,ATC_M,ATC_P,ATC_R,ATC_S,ATC_V,statin,ezetimibe,pcsk9,fibrate,bas,niacin,n3fa,glm,insulin,arb,anticoag,diuretic,ccb,bb,antiplatelet,acei,thr,anti_ht
acyclovir,189,D06BB03|J05AB01|S01AD03,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
adalat 5mg capsule,1264,C08CA05,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
adalate 10mg capsule,444,C08CA05,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
adalimumab,63,L04AB04,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
adapalene,8,D10AD03,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
adcal 600mg chewable tablet,1906,A12AA04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adcal-d3 1.5g/10micrograms chewable tablet,4173,A12AX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adcortyl 0.1% cream,10,A01AC01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adcortyl in orabase oral paste,35,A01AC01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adefovir,7,J05AF08,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
adifax 15mg capsule,1,A08AA04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adipine mr 10 m/r tablet,184,C08CA05,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
adizem-60 m/r tablet,524,C08DB01,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
adizem-xl plus m/r capsule,403,C08DB01,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
adrenaline acid tartrate 280micrograms inhaler,1,C01CA24,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adrenaline product,54,A01AD01|B02BC09|C01CA24|R01AA14|R03AA01|S01EA01,1,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
adrenaline+atropine compound spray,1,N02BG09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adult meltus dry coughs with congestion oral liquid,6,R01BA52,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
adult's decongestant 0.1% nasal drops,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
advil 200mg tablet,7,R02AX02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
advil cold and sinus tablet,1,R02AX02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
aerobec 50mcg autohaler,30,R03BA01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
aerocrom inhaler,2,R03AK04,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
aerodiol 150micrograms nasal spray,6,G03CA03,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
aerolin-400 100micrograms inhaler,5,R03AC02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
afrazine nose drops,1,R01AA05,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
ailax suspension,2,A06AB03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airomir 100micrograms cfc-free inhaler,252,R03AC02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
akineton 2mg tablet,1,N04AA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aknemin 100mg capsule,3,J01AA08,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
aknemin 50mg capsule,2,J01AA08,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
aknemycin plus solution,1,S01AA17,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
albendazole,1,P02CA03,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
albucid 20% eye drops,1,S01AB04,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
alclometasone,1,S01BA10,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
alcoderm cream,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcoholic coal tar extract 5% shampoo,2,D11AC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
aldactide 25 tablet,8,C03DA01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
aldactone 25mg tablet,5,C03DA01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
aldadiene potassium,2,C03DA02,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
aldara 5% cream,14,D06BB10,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
aldomet 125mg tablet,7,C02AB01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alendronate sodium,6576,M05BA04,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
alevaire 1.25mg/ml solution,1,R05CA01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
alfacalcidol,497,A11CC03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alfa-d 250nanograms capsule,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alfentanil,1,N01AH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alfuzosin,1323,G04CA01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
algesal cream,74,M02AC,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
algicon suspension,1,A02AB07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alimemazine,26,R06AD01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
alimix 10mg tablet,1,A03FA02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alka-seltzer tablet,16,N02BA51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allegron 10mg tablet,10,N06AA10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aller-eze 0.05% eye drops,2,R01AC03,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
aller-eze tablet,5,R01AC03,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
allergy relief antihistamine 4mg tablet,250,R06AB04,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
allopurinol,6712,M04AA01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
almazine 1mg tablet,1,N05BA06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almogran 12.5mg tablet,66,N02CC05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almotriptan,125,N02CC05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aloe vera product,508,HV03,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
alomide eye drops,25,S01GX05,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
alophen pill,1,A06AB04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha keri bath oil,1,N02BE01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha methyldopa,2,C02AB01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha tocopheryl acetate 50iu/g cream,1,A11HA03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha tocopheryl product,8,A11HA03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alphaderm cream,34,D07XA01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alphagan 0.2% eye drops,112,S01EA05,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
alphaparin 3000iu/0.3ml prefilled syringe,1,B01AB05,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alphosyl 2 in 1 shampoo,26,D05AA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alphosyl cream,49,D07XA01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alphosyl hc cream,41,D07XA01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alphosyl lotion,4,D05AA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alphosyl shampoo,36,D05AA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
alprazolam,11,N05BA12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alprostadil,62,C01EA01|G04BE01,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
altacite 500mg tablet,4,A02AD03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altretamine,1,L01XX03,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
alu-cap capsule,5,A02AB01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aluminium acetate 8% ear drops,2,S02AA04,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
aluminium chloride 20% roll-on application,2,S02AA04,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
aluminium chloride 20% roll-on solution,2,S02AA04,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
aluminium hydroxide product,2,S02AA04,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
alupent 20mg tablet,1,R03CB03,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
alupent expectorant 20mg tablet,1,R03CB03,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
alupram 2mg tablet,2,N05BA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alverine,318,A03AX08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alverine citrate+sterculia 0.5%/62% granules,95,A03AX58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amantadine,152,N04BB01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amaryl 1mg tablet,49,A10BB12,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
ambaxin 400mg tablet,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambutonium bromide,1,A03CA07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amias 2mg tablet,580,C09CA06,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
amidine,1,D08AC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
amilamont 5mg/ml s/f oral solution,1,C03DB01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
amil-co tablet,1,C03EA01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
amiloride,213,C03DB01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
amiloride hcl+cyclopenthiazide 2.5mg/250micrograms tablet,7,C03DB01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
amiloride hydrochloride+bumetanide 5mg/1mg tablet,7,C03DB01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
aminophylline,103,R03DA05,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
aminosalicylic acid,3,J04AA01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
amiodarone,465,C01BD01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amipramizide,2,C03DB01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
amisulpride,103,N05AL05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amitriptyline,10600,N06AA09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amitriptyline hydrochloride+perphenazine 10mg/2mg tablet,127,N06CA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amitriptyline+chlordiazepoxide 12.5mg/5mg capsule,2,N06BX03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amlodipine,26656,C08CA01,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
amlostin 5mg tablet,104,C08CA01,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
amodiaquine,6,P01BA06,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
amorolfine,74,D01AE16,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
amoxapine,1,N06AA17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amoxicillin,461,J01CA04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
amoxicillin product,27,J01CA04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
amoxident 250mg capsule,2,J01CA04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
amoxident 500mg capsule,2,J01CA04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
amoxidin 500mg capsule,2,J01CA04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
amoxil 125mg/5ml syrup,1,J01CA04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
amoxil 1g injection (pdr for recon),1,J01CA04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
amoxil 250mg capsule,10,J01CA04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
amoxil 3g/sachet s/f powder,2,J01CA04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
amoxil 500mg capsule,12,J01CA04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
amoxil 500mg s/f dispersible tablet,1,J01CA04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
amoxycillin,55,J01CA04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
amoxycillin product,4,J01CA04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
amphotericin,15,A01AB04|A07AA07|G01AA03|J02AA01,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
ampicillin,9,S01AA19,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
ampilar 250mg capsule,1,J05AF06,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
ampitrin 125mg/5ml oral suspension,1,J01CA01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
amyben 100mg tablet,1,C01BD01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anabact 0.75% gel,5, J01XD01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
anacal ointment,4,C05BA51,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anacal rectal ointment,4,C05BA51,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anacal suppository,4,C05BA51,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anadin ibuprofen 200mg tablet,14,M01AE01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
anadin paracetamol 500mg tablet,35,N02BE01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anadin tablet,375,N02BA51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anafranil 10mg capsule,47,N06AA04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anakinra,1,L04AC03,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
anapolon-50 50mg tablet,1,A14AA05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anastrozole,605,L02BG03,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
anbesol adult oral gel,1,R02AA19,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
andrews liver salts powder,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
androcur 50mg tablet,2,G03HA01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
andropatch 2.5mg/24hours transdermal patch,27,G03BA03,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
androstanazol,1,A14AA02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angettes 75mg tablet,3,B01AC06,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
angilol 10mg tablet,1,C07AA05,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
angiotensin ii receptor antagonist,3,C09CA,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
angiozem 60mg m/r tablet,1,C08DB01,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
angitak 1.25mg spray,1,C01DA08,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angitil sr 90 m/r capsule,181,C08DB01,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
anhydrol forte roll-on solution,5,V03AZ01,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
antabuse 200mg tablet,17,N07BB01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antacid liquid,6,A02AF02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antacid tablet,85,A02AF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antazoline sulphate+xylometazoline hcl 0.5/0.05% eye drops,3,R06AX05,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
antepsin 1g tablet,21,A02BX02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthisan 50mg tablet,1,R06AC01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
anthisan cream,3,R06AC01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
antidiuretic hormone-vasopressin,1,H01BA01,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
antiemetic,3,A04AA02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antihistamine 60mg tablet,509,R06,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
antihypertensive,119,C02,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antiplatelet drug,1,B01AC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
antoin dispersible tablet,2,J01XE01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
antrapurol,1,A06AB03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anturan 100mg tablet,1,M04AB02,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
anugesic-hc cream,14,C05AX02,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anusol cream,138,C05AX,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anusol hc ointment,55,C05AA01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apo-go 20mg/2ml injection,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apomorphine,17,N04BC07|G04BE07,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
app stomach tablet,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apraclonidine,4,S01EA03,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
aprepitant,1,A04AD12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apresoline 25mg tablet,1,C02DB02,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
aprovel 75mg tablet,465,C09CA04,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
apsolol 10mg tablet,1,C07AA05,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
aquadrate 10% cream,11,D02A,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqueous cream bp,483,D02A,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
aranesp 10micrograms/0.4ml prefilled syringe,65,B03XA02,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arava 100mg tablet,1,L04AA13,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
arava 10mg tablet,12,L04AA13,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
arava 20mg tablet,7,L04AA13,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
arcoxia 120mg tablet,80,M01AH05,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
arcoxia 60mg tablet,192,M01AH05,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
arcoxia 90mg tablet,139,M01AH05,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
argotone nasal spray,3,R01AB05,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
aricept 5mg tablet,26,N06DA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arimidex 1mg tablet,909,L02BG03,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
aripiprazole,73,N05AX12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aromasin 25mg tablet,82,L02BG06,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
aromatic chalk + opium mixture,1,N02AA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artelac 0.32% single-use eye drops,19,S01XA20,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
artemether+lumefantrine,1,P01BF01,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
arthrofen 200 tablet,2,M01AB55,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
arthrotec 50 tablet,439,M01AB55,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
arthrotec tablet,735,M01AB55,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
artificial saliva,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arythmol 150mg tablet,14,C01BC03,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as saliva orthana spray,16,A01AD11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asacol 400mg e/c tablet,785,A07EC02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asacol mr 400mg e/c tablet,206,A07EC02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asasantin retard m/r capsule,136,B01AC30,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
ascorbic acid product,104,A11GA01|S01XA15|G01AD03,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
asilone liquid,25,A02AF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
askit powder,7,N02BA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asmabec 50micrograms spacehaler,60,R03BA01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
asmanex twisthaler 200mcg breath-actuated dry powder inhaler,20,R03BA07,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
asmasal 100micrograms spacehaler,75,R03AC02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
asmaven 100micrograms inhaler,1,R03CC02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
aspav dispersible tablet,13,N02BA51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
